ID,0
Time,2025-Jun-19 22:49:42
API Call ID,520
Estimated Speedup [%],93.75
Runtime Improvement [us],59.40
Issues Detected [issue],13
Function Name,computeOut1_flat
Mangled Name,_Z16computeOut1_flatPKtPKhPt
Demangled Name,computeOut1_flat..
Original Demangled Name,"computeOut1_flat(const unsigned short *, const unsigned char *, unsigned short *)"
Process,[11936] single_decrypt
Thread ID [thread],11936
Device Name,NVIDIA GeForce RTX 3050 Laptop GPU
CUprogram,0x5f2e23292770
CUfunction,0x5f2e23294c70
Grid Offset,"    0,    0,    0"
Grid Size,"    1,    1,    1"
Block Size [block],"  256,    1,    1"
Grid Dimensions,3
gpc__cycles_elapsed.max [cycle],"78,345"
gpu__time_duration.sum [us],63.36
sm__throughput.avg.pct_of_peak_sustained_elapsed [%],0.56
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed [%],0.97
FBSP.TriageSCG.dramc__read_throughput.avg.pct_of_peak_sustained_elapsed [%],{316}
FBSP.TriageSCG.dramc__throughput.avg.pct_of_peak_sustained_elapsed [%],{316}
FBSP.TriageSCG.dramc__write_throughput.avg.pct_of_peak_sustained_elapsed [%],{316}
FE_B.TriageAC.gr__ctas_launched_queue_sync.sum [block],1 {316}
LTS.TriageSCG.lts__average_t_sector_hit_rate_realtime.pct [%],{177}
LTS.TriageSCG.lts__throughput.avg.pct_of_peak_sustained_elapsed [%],{177}
SM_A.TriageAC.l1tex__data_pipe_lsu_wavefronts.avg,173.50 {177}
SM_A.TriageAC.l1tex__lsu_writeback_active.avg [cycle],95 {177}
SM_A.TriageAC.sm__cycles_active.avg [cycle],"4,771.38 {316}"
SM_A.TriageAC.sm__inst_executed_realtime.avg.per_cycle_active [inst/cycle],13.85 {316}
SM_A.TriageSCG.l1tex__throughput.avg.pct_of_peak_sustained_elapsed [%],{177}
SM_A.TriageSCG.sm__inst_executed_pipe_alu_realtime.avg.pct_of_peak_sustained_elapsed [%],0.08 {316}
SM_B.TriageAC.l1tex__t_sector_hit_rate.pct [%],{177}
SM_C.TriageSCG.smsp__inst_executed_pipe_fmaheavy.avg.pct_of_peak_sustained_elapsed [%],0.02 {316}
SM_C.TriageSCG.smsp__inst_executed_pipe_fmalite.avg.pct_of_peak_sustained_elapsed [%],0 {316}
TriageAC.tpc__warps_active_realtime.avg.per_cycle_active [warp],30.97 {316}
TriageAC.tpc__warps_active_realtime.sum.per_cycle_active [warp],247.73 {316}
TriageSCG.sm__throughput.avg.pct_of_peak_sustained_elapsed [%],{316}
